date,country,state,county,cases,deaths,updated,source
2020-01-02 00:00:00,China,China,China,17,0,2020-01-02 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-03 00:00:00,China,China,China,17,0,2020-01-03 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-04 00:00:00,China,China,China,32,0,2020-01-04 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-05 00:00:00,China,China,China,32,0,2020-01-05 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-06 00:00:00,China,China,China,32,0,2020-01-06 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-07 00:00:00,China,China,China,32,0,2020-01-07 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-08 00:00:00,China,China,China,32,0,2020-01-08 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-09 00:00:00,China,China,China,32,0,2020-01-09 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-10 00:00:00,China,China,China,32,1,2020-01-10 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-11 00:00:00,China,China,China,32,1,2020-01-11 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-12 00:00:00,China,China,China,32,1,2020-01-12 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-12 00:00:00,Thailand,Thailand,Thailand,1,0,2020-01-12 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-13 00:00:00,China,China,China,32,1,2020-01-13 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-13 00:00:00,Thailand,Thailand,Thailand,1,0,2020-01-13 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-14 00:00:00,China,China,China,32,2,2020-01-14 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-14 00:00:00,Japan,Japan,Japan,1,0,2020-01-14 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-14 00:00:00,Thailand,Thailand,Thailand,1,0,2020-01-14 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-15 00:00:00,China,China,China,32,2,2020-01-15 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-15 00:00:00,Japan,Japan,Japan,1,0,2020-01-15 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-15 00:00:00,Thailand,Thailand,Thailand,1,0,2020-01-15 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-16 00:00:00,China,China,China,36,2,2020-01-16 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-16 00:00:00,Japan,Japan,Japan,1,0,2020-01-16 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-16 00:00:00,Thailand,Thailand,Thailand,2,0,2020-01-16 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-17 00:00:00,China,China,China,53,2,2020-01-17 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-17 00:00:00,Japan,Japan,Japan,1,0,2020-01-17 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-17 00:00:00,Thailand,Thailand,Thailand,2,0,2020-01-17 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-18 00:00:00,China,China,China,189,3,2020-01-18 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-18 00:00:00,Japan,Japan,Japan,1,0,2020-01-18 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-18 00:00:00,Thailand,Thailand,Thailand,2,0,2020-01-18 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-19 00:00:00,China,China,China,208,3,2020-01-19 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-19 00:00:00,Japan,Japan,Japan,1,0,2020-01-19 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-19 00:00:00,South Korea,South Korea,South Korea,1,0,2020-01-19 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-19 00:00:00,Thailand,Thailand,Thailand,2,0,2020-01-19 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-20 00:00:00,China,China,China,359,6,2020-01-20 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-20 00:00:00,Japan,Japan,Japan,1,0,2020-01-20 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-20 00:00:00,South Korea,South Korea,South Korea,1,0,2020-01-20 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-20 00:00:00,Taiwan,Taiwan,Taiwan,1,0,2020-01-20 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-20 00:00:00,Thailand,Thailand,Thailand,2,0,2020-01-20 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-21 00:00:00,China,China,China,499,17,2020-01-21 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-21 00:00:00,Japan,Japan,Japan,1,0,2020-01-21 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-21 00:00:00,South Korea,South Korea,South Korea,1,0,2020-01-21 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-21 00:00:00,Taiwan,Taiwan,Taiwan,1,0,2020-01-21 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-21 00:00:00,Thailand,Thailand,Thailand,4,0,2020-01-21 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-21 00:00:00,US,Washington,Snohomish,1,0,2020-01-21 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-22 00:00:00,China,China,China,596,17,2020-01-22 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-22 00:00:00,Japan,Japan,Japan,1,0,2020-01-22 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-22 00:00:00,South Korea,South Korea,South Korea,1,0,2020-01-22 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-22 00:00:00,Taiwan,Taiwan,Taiwan,1,0,2020-01-22 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-22 00:00:00,Thailand,Thailand,Thailand,4,0,2020-01-22 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-22 00:00:00,US,Washington,Snohomish,1,0,2020-01-22 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-23 00:00:00,China,China,China,855,26,2020-01-23 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-23 00:00:00,Japan,Japan,Japan,2,0,2020-01-23 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-23 00:00:00,Singapore,Singapore,Singapore,3,0,2020-01-23 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-23 00:00:00,South Korea,South Korea,South Korea,2,0,2020-01-23 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-23 00:00:00,Taiwan,Taiwan,Taiwan,1,0,2020-01-23 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-23 00:00:00,Thailand,Thailand,Thailand,4,0,2020-01-23 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-23 00:00:00,US,Washington,Snohomish,1,0,2020-01-23 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-23 00:00:00,Vietnam,Vietnam,Vietnam,2,0,2020-01-23 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-24 00:00:00,Australia,Australia,Australia,1,0,2020-01-24 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-24 00:00:00,China,China,China,1296,41,2020-01-24 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-24 00:00:00,France,France,France,3,0,2020-01-24 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-24 00:00:00,Japan,Japan,Japan,2,0,2020-01-24 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-24 00:00:00,Malaysia,Malaysia,Malaysia,3,0,2020-01-24 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-24 00:00:00,Nepal,Nepal,Nepal,1,0,2020-01-24 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-24 00:00:00,Singapore,Singapore,Singapore,3,0,2020-01-24 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-24 00:00:00,South Korea,South Korea,South Korea,2,0,2020-01-24 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-24 00:00:00,Taiwan,Taiwan,Taiwan,3,0,2020-01-24 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-24 00:00:00,Thailand,Thailand,Thailand,5,0,2020-01-24 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-24 00:00:00,US,Illinois,Cook,1,0,2020-01-24 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-24 00:00:00,US,Washington,Snohomish,1,0,2020-01-24 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-24 00:00:00,Vietnam,Vietnam,Vietnam,2,0,2020-01-24 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-25 00:00:00,Australia,Australia,Australia,4,0,2020-01-25 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-25 00:00:00,Canada,Canada,Canada,1,0,2020-01-25 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-25 00:00:00,China,China,China,1961,56,2020-01-25 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-25 00:00:00,France,France,France,3,0,2020-01-25 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-25 00:00:00,Japan,Japan,Japan,3,0,2020-01-25 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-25 00:00:00,Malaysia,Malaysia,Malaysia,4,0,2020-01-25 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-25 00:00:00,Nepal,Nepal,Nepal,1,0,2020-01-25 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-25 00:00:00,Singapore,Singapore,Singapore,4,0,2020-01-25 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-25 00:00:00,South Korea,South Korea,South Korea,3,0,2020-01-25 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-25 00:00:00,Taiwan,Taiwan,Taiwan,3,0,2020-01-25 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-25 00:00:00,Thailand,Thailand,Thailand,5,0,2020-01-25 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-25 00:00:00,US,California,Orange,1,0,2020-01-25 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-25 00:00:00,US,Illinois,Cook,1,0,2020-01-25 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-25 00:00:00,US,Washington,Snohomish,1,0,2020-01-25 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-25 00:00:00,Vietnam,Vietnam,Vietnam,2,0,2020-01-25 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-26 00:00:00,Australia,Australia,Australia,4,0,2020-01-26 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-26 00:00:00,Canada,Canada,Canada,1,0,2020-01-26 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-26 00:00:00,China,China,China,2748,81,2020-01-26 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-26 00:00:00,France,France,France,3,0,2020-01-26 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-26 00:00:00,Japan,Japan,Japan,3,0,2020-01-26 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-26 00:00:00,Malaysia,Malaysia,Malaysia,4,0,2020-01-26 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-26 00:00:00,Nepal,Nepal,Nepal,1,0,2020-01-26 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-26 00:00:00,Singapore,Singapore,Singapore,4,0,2020-01-26 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-26 00:00:00,South Korea,South Korea,South Korea,4,0,2020-01-26 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-26 00:00:00,Taiwan,Taiwan,Taiwan,5,0,2020-01-26 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-26 00:00:00,Thailand,Thailand,Thailand,8,0,2020-01-26 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-26 00:00:00,US,Arizona,Maricopa,1,0,2020-01-26 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-26 00:00:00,US,California,Los Angeles,1,0,2020-01-26 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-26 00:00:00,US,California,Orange,1,0,2020-01-26 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-26 00:00:00,US,Illinois,Cook,1,0,2020-01-26 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-26 00:00:00,US,Washington,Snohomish,1,0,2020-01-26 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-26 00:00:00,United Arab Emirates,United Arab Emirates,United Arab Emirates,1,0,2020-01-26 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-26 00:00:00,Vietnam,Vietnam,Vietnam,2,0,2020-01-26 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-27 00:00:00,Australia,Australia,Australia,4,0,2020-01-27 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-27 00:00:00,Cambodia,Cambodia,Cambodia,1,0,2020-01-27 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-27 00:00:00,Canada,Canada,Canada,2,0,2020-01-27 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-27 00:00:00,China,China,China,4501,106,2020-01-27 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-27 00:00:00,France,France,France,3,0,2020-01-27 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-27 00:00:00,Germany,Germany,Germany,1,0,2020-01-27 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-27 00:00:00,Japan,Japan,Japan,4,0,2020-01-27 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-27 00:00:00,Malaysia,Malaysia,Malaysia,4,0,2020-01-27 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-27 00:00:00,Nepal,Nepal,Nepal,1,0,2020-01-27 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-27 00:00:00,Singapore,Singapore,Singapore,5,0,2020-01-27 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-27 00:00:00,South Korea,South Korea,South Korea,4,0,2020-01-27 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-27 00:00:00,Sri Lanka,Sri Lanka,Sri Lanka,1,0,2020-01-27 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-27 00:00:00,Taiwan,Taiwan,Taiwan,7,0,2020-01-27 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-27 00:00:00,Thailand,Thailand,Thailand,14,0,2020-01-27 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-27 00:00:00,US,Arizona,Maricopa,1,0,2020-01-27 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-27 00:00:00,US,California,Los Angeles,1,0,2020-01-27 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-27 00:00:00,US,California,Orange,1,0,2020-01-27 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-27 00:00:00,US,Illinois,Cook,1,0,2020-01-27 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-27 00:00:00,US,Washington,Snohomish,1,0,2020-01-27 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-27 00:00:00,United Arab Emirates,United Arab Emirates,United Arab Emirates,1,0,2020-01-27 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-27 00:00:00,Vietnam,Vietnam,Vietnam,2,0,2020-01-27 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-28 00:00:00,Australia,Australia,Australia,4,0,2020-01-28 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-28 00:00:00,Cambodia,Cambodia,Cambodia,1,0,2020-01-28 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-28 00:00:00,Canada,Canada,Canada,3,0,2020-01-28 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-28 00:00:00,China,China,China,5967,132,2020-01-28 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-28 00:00:00,France,France,France,4,0,2020-01-28 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-28 00:00:00,Germany,Germany,Germany,4,0,2020-01-28 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-28 00:00:00,Japan,Japan,Japan,7,0,2020-01-28 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-28 00:00:00,Malaysia,Malaysia,Malaysia,7,0,2020-01-28 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-28 00:00:00,Nepal,Nepal,Nepal,1,0,2020-01-28 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-28 00:00:00,Singapore,Singapore,Singapore,7,0,2020-01-28 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-28 00:00:00,South Korea,South Korea,South Korea,4,0,2020-01-28 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-28 00:00:00,Sri Lanka,Sri Lanka,Sri Lanka,1,0,2020-01-28 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-28 00:00:00,Taiwan,Taiwan,Taiwan,8,0,2020-01-28 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-28 00:00:00,Thailand,Thailand,Thailand,14,0,2020-01-28 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-28 00:00:00,US,Arizona,Maricopa,1,0,2020-01-28 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-28 00:00:00,US,California,Los Angeles,1,0,2020-01-28 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-28 00:00:00,US,California,Orange,1,0,2020-01-28 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-28 00:00:00,US,Illinois,Cook,1,0,2020-01-28 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-28 00:00:00,US,Washington,Snohomish,1,0,2020-01-28 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-28 00:00:00,United Arab Emirates,United Arab Emirates,United Arab Emirates,1,0,2020-01-28 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-28 00:00:00,Vietnam,Vietnam,Vietnam,2,0,2020-01-28 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-29 00:00:00,Australia,Australia,Australia,6,0,2020-01-29 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-29 00:00:00,Cambodia,Cambodia,Cambodia,1,0,2020-01-29 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-29 00:00:00,Canada,Canada,Canada,3,0,2020-01-29 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-29 00:00:00,China,China,China,7707,170,2020-01-29 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-29 00:00:00,Finland,Finland,Finland,1,0,2020-01-29 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-29 00:00:00,France,France,France,5,0,2020-01-29 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-29 00:00:00,Germany,Germany,Germany,4,0,2020-01-29 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-29 00:00:00,India,India,India,1,0,2020-01-29 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-29 00:00:00,Japan,Japan,Japan,11,0,2020-01-29 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-29 00:00:00,Malaysia,Malaysia,Malaysia,7,0,2020-01-29 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-29 00:00:00,Nepal,Nepal,Nepal,1,0,2020-01-29 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-29 00:00:00,Philippines,Philippines,Philippines,1,0,2020-01-29 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-29 00:00:00,Singapore,Singapore,Singapore,10,0,2020-01-29 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-29 00:00:00,South Korea,South Korea,South Korea,4,0,2020-01-29 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-29 00:00:00,Sri Lanka,Sri Lanka,Sri Lanka,1,0,2020-01-29 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-29 00:00:00,Taiwan,Taiwan,Taiwan,8,0,2020-01-29 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-29 00:00:00,Thailand,Thailand,Thailand,14,0,2020-01-29 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-29 00:00:00,US,Arizona,Maricopa,1,0,2020-01-29 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-29 00:00:00,US,California,Los Angeles,1,0,2020-01-29 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-29 00:00:00,US,California,Orange,1,0,2020-01-29 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-29 00:00:00,US,Illinois,Cook,1,0,2020-01-29 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-29 00:00:00,US,Washington,Snohomish,1,0,2020-01-29 00:00:00,<pipeline.NYT object at 0x122deff40>
2020-01-29 00:00:00,United Arab Emirates,United Arab Emirates,United Arab Emirates,4,0,2020-01-29 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-29 00:00:00,Vietnam,Vietnam,Vietnam,2,0,2020-01-29 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-30 00:00:00,Australia,Australia,Australia,7,0,2020-01-30 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-30 00:00:00,Cambodia,Cambodia,Cambodia,1,0,2020-01-30 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-30 00:00:00,Canada,Canada,Canada,3,0,2020-01-30 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-30 00:00:00,China,China,China,9687,213,2020-01-30 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-30 00:00:00,Finland,Finland,Finland,1,0,2020-01-30 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-30 00:00:00,France,France,France,6,0,2020-01-30 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-30 00:00:00,Germany,Germany,Germany,5,0,2020-01-30 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-30 00:00:00,India,India,India,1,0,2020-01-30 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-30 00:00:00,Japan,Japan,Japan,14,0,2020-01-30 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-30 00:00:00,Malaysia,Malaysia,Malaysia,8,0,2020-01-30 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-30 00:00:00,Nepal,Nepal,Nepal,1,0,2020-01-30 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-30 00:00:00,Philippines,Philippines,Philippines,1,0,2020-01-30 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-30 00:00:00,Singapore,Singapore,Singapore,13,0,2020-01-30 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-30 00:00:00,South Korea,South Korea,South Korea,7,0,2020-01-30 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-30 00:00:00,Sri Lanka,Sri Lanka,Sri Lanka,1,0,2020-01-30 00:00:00,<pipeline.ECDC object at 0x122deffd0>
2020-01-30 00:00:00,Taiwan,Taiwan,Taiwan,9,0,2020-01-30 00:00:00,<pipeline.ECDC object at 0x122deffd0>
